country,dish,link,image,main_ingredients
Bosnia and Herzegovina,Bosnian pot,/wiki/Bosnian_pot,http://upload.wikimedia.org/wikipedia/commons/8/86/Bosanskilonac.jpg,"Meat (beef, lamb), vegetables (cabbage, potatoes, tomatoes, carrots), parsley, garlic, peppercorns"
Bosnia and Herzegovina,Ćevapi,/wiki/%C4%86evapi,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Cevapcici_in_somun.jpg/220px-Cevapcici_in_somun.jpg,"Meat (lamb, or beef, somun, onion"
Brazil,Feijoada,/wiki/Feijoada,http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Feijoada_completa.jpg/250px-Feijoada_completa.jpg,"beans, beef, pork"
British Virgin Islands,Fungi,/wiki/Cou-Cou,,
Brunei,Ambuyat,/wiki/Ambuyat,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Ambuyat_in_Bandar_Seri_Begawan%2C_Brunei.jpg/250px-Ambuyat_in_Bandar_Seri_Begawan%2C_Brunei.jpg,Sago
Bulgaria,Banitsa,/wiki/Banitsa,,"Dough: flour, eggs, water
Filling: crushed white cheese (sirene), yogurt, eggs"
Burma,Mohinga,/wiki/Mohinga,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/IMG_Mohinga.JPG/225px-IMG_Mohinga.JPG,
Cambodia,Amok trey,/wiki/Amok_trey,http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Amok_Cambodian_curry.jpg/250px-Amok_Cambodian_curry.jpg,"Fish, coconut milk, kroeung"
Cameroon,Ndolé,/wiki/Ndol%C3%A9,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Ndol%C3%A9_camerounais.JPG/250px-Ndol%C3%A9_camerounais.JPG,"nuts, ndoleh, fish or ground beef"
Canada,Kraft Dinner,/wiki/Kraft_Dinner,,
Canada,Nanaimo bar,/wiki/Nanaimo_bar,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Nanaimo_bar.JPG/300px-Nanaimo_bar.JPG,"Crumb, icing, chocolate"
Canada,Poutine,/wiki/Poutine,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/OriginalPoutineLaBanquise.jpg/256px-OriginalPoutineLaBanquise.jpg,"French fries, thin brown gravy, cheese curds"
Canada,Butter tarts,/wiki/Butter_tart,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Pecan_butter_tart%2C_May_2011.jpg/250px-Pecan_butter_tart%2C_May_2011.jpg,"Pastry shell, butter, sugar, syrup, eggs, raisins"
Cape Verde,Cachupa,/wiki/Cachupa,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Cachupa.jpg/250px-Cachupa.jpg,"Fish or meat (sausage, beef, goat, or chicken), corn, beans"
Chile,Empanada,/wiki/Empanada,http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Empanada_-_Stu_Spivack.jpg/250px-Empanada_-_Stu_Spivack.jpg,"Pastry, filling"
Chile,Pastel de choclo,/wiki/Pastel_de_choclo,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Pastel_de_choclo.jpg/250px-Pastel_de_choclo.jpg,"Crust: Mashed sweet corn,
Filling: ground beef, chicken, raisins, black olives, onions or slices of hard boiled egg"
China,Peking Duck,/wiki/Peking_Duck,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Peking_Duck_3.jpg/260px-Peking_Duck_3.jpg,
Colombia,Ajiaco,/wiki/Ajiaco,,
Colombia,Bandeja paisa,/wiki/Bandeja_paisa,http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Bandeja_paisa_30062011.jpg/220px-Bandeja_paisa_30062011.jpg,"red beans, pork belly, white rice, ground meat, chicharon, fried egg, plantain (patacones), chorizo, arepa, hogao sauce, black pudding (morcilla), avocado and lemon"
Costa Rica,Gallo pinto,/wiki/Gallo_pinto,,
Cuba,Platillo Moros y Cristianos,/wiki/Platillo_Moros_y_Cristianos,,
Cuba,Ropa vieja,/wiki/Ropa_vieja,,
Czech Republic,Vepřo knedlo zelo,/wiki/Czech_cuisine,,
